ES_Count_dO,ES_Sum_aaN,ES_Sum_dO,Num_AliphaticDoubleBonds,LogD,QED_HBD,ALogP98,QED_HBA,Molecular_Solubility,QED_ALERTS,ES_Count_dssC,QED_AROM,ES_Sum_sF,ES_Sum_sCH3,ES_Sum_ssNH,Num_H_Donors,O_Count,ES_Sum_ssO,ES_Sum_aaaC,Num_AromaticBonds,SAscore_Complexity,ES_Count_ddssS,ES_Sum_dsN,ES_Count_sOH,QED_PSA,HBD_Count,HBA_Count,Num_H_Acceptors,ES_Count_ssNH,ES_Count_dsN,Num_StereoBonds,ES_Count_aaN,Molecular_PolarSASA,ES_Sum_ddssS,ES_Count_ssS,ES_Sum_sNH2,QED_ROTB,ES_Sum_dssC,ES_Count_sCH3,S_Count,Num_H_Acceptors_Lipinski,ES_Sum_aasC,Molecular_FractionalPolarSurfaceArea,Molecular_FractionalPolarSASA,ES_Sum_ssssC,Apol,Molecular_PolarSurfaceArea,lnROS,quality
1,0,11.884,2,1.035,0.37866,0.718,0.9848,-3.036,0.24139,2,0.47245,0,3.971,8.354,3,2,5.64,0,0,0.454574,0,0,0,0.74307,3,2,3,3,0,0,0,156.748,0,0,0,0.84757,0.419,2,1,5,0,0.368,0.353,0,9375.82,94.47,2.18610838,1
2,3.66,23.435,3,0.614,0.79222,1.941,0.33223,-4.73,0.00855,3,0.82734,38.533,3.172,5.204,2,4,9.504,0,6,0.0711702,0,0,0,0.79055,2,5,7,2,0,1,1,126.791,0,0,0,0.10729,-2.034,2,0,7,-1.185,0.229,0.214,-4.523,12333.4,89.55,4.188506634,1
1,4.308,11.864,1,2.359,0.98659,2.406,0.88651,-3.866,0.63972,1,0.93773,0,3.731,0,1,2,5.012,0,11,0.0436704,0,0,0,0.75311,1,3,4,0,0,0,1,159.093,0,0,5.829,0.96969,-0.395,2,1,4,3.413,0.336,0.347,0,11227.6,93.45,4.444442977,1
1,10.868,11.761,1,2.59,0.59178,2.59,0.72615,-4.371,0.08169,1,0.93773,37.37,0,0,0,1,0,0,12,0.0503047,0,0,0,0.8656,0,4,5,0,0,0,3,114.724,0,1,0,0.84757,-0.247,0,1,4,-0.715,0.283,0.25,-4.523,10854.7,81.03,1.51851394,1
0,3.755,0,1,3.099,0.98659,2.2,0.93048,-3.969,0.63972,1,0.82734,38.095,0,2.796,1,0,0,0,6,0.0372253,0,0,0,0.98849,1,1,2,1,0,0,1,103.054,0,0,0,0.87038,0.281,0,1,3,-0.898,0.26,0.264,-4.415,8459.24,60.25,1.8162413,1
1,7.084,11.731,1,3.869,0.98659,3.869,0.88651,-5.818,0.24139,1,0.93773,37.512,0,2.625,1,1,0,0,12,0.0571093,0,0,0,0.87248,1,3,4,1,0,0,2,115.586,0,1,0,0.84757,-0.354,0,1,4,0.343,0.248,0.224,-4.53,11525.3,80.18,3.839320894,1
1,0,11.854,1,5.69,0.98659,5.69,0.9848,-6.333,0.84246,1,0.25672,36.352,0,2.653,1,4,9.314,0,17,0.0711702,0,0,0,0.98708,1,4,3,1,0,0,0,87.378,0,0,0,0.6885,-0.386,0,0,5,1.178,0.181,0.16,-4.738,13588.8,60.7,3.443888547,1
2,0,22.035,2,3.171,0.79222,4.593,0.52457,-5.737,0.84246,2,0.93773,36.33,0,2.604,2,5,9.266,0,12,0.0747707,0,0,1,0.58144,1,4,6,1,0,0,0,161.537,0,1,0,0.29329,-1.331,0,1,6,0.87,0.293,0.276,-4.756,14726.1,110.16,4.317823154,1
0,4.762,0,0,2.208,0.79222,3.293,0.88651,-5.713,0.63972,0,0.25672,0,3.26,3.284,2,3,10.564,1.984,16,0.302219,0,0,1,0.99839,2,2,4,1,0,0,1,93.5273,0,0,0,0.29329,0,2,0,5,2.609,0.144,0.152,0,14600.4,55.65,3.922128347,1
0,0,0,2,2.836,0.79222,2.545,0.9848,-5.468,0.63972,2,0.93773,0,0,6.201,2,2,5.42,0,11,0.0536867,0,4.279,0,0.77797,2,3,3,2,1,1,0,140.75,0,0,0,0.6885,1.258,0,1,5,2.729,0.303,0.271,0,12838.9,90.88,3.242913947,1
